Entity Name,Category,Market Rank / Focus,Validated Target URL,Ingestion Tech,Signal Value,Selector
Aviva UK,Insurer,1 (Leader),https://www.aviva.com/search/#sort=date%20descending&displaytag=motor-home-and-travel-news%2Cfinancial-news%2Cwealth-and-retirement-news%2Chealth-and-protection-news%2Clatest-announcement%2Csustainability-news%2Cmedia-statement%2Csponsorship-news%2Cour-workplace-news%2Cleadership-news%2Cfeatures,Dynamic JS,Critical - Market Mover,a.search-result-item__link
RSA Insurance (Intact),Insurer,2 (Leader),https://www.intactinsurance.co.uk/news/press-releases,Dynamic JS,Critical - Tech & Underwriting,"a[href*=""/news/press-releases/""]"
AXA UK,Insurer,3 (Leader),https://www.axa.co.uk/newsroom/,Dynamic JS,Critical - Consumer Trends,a.news-card__link
Zurich UK,Insurer,4 (Leader),https://www.zurich.co.uk/search-results?sorting=d_desc,Dynamic JS,Critical - Risk Insights,a.card-link
Allianz UK,Insurer,5 (Leader),https://www.mynewsdesk.com/uk/allianz-insurance/pressreleases,Dynamic JS,Critical - Commercial & Claims,a.news-item-link
AIG UK,Insurer,6 (Global),https://www.aig.co.uk/home/insight-page?criteria=topic:latest-articles,Dynamic JS,High - Liability & Global Risk,article a
Bupa UK,Insurer,7 (Health),https://www.bupa.com/news-and-press/press-releases,Dynamic JS,High - Health Trends,a.listing-item__link
Direct Line Group,Insurer,8 (Personal),https://www.directlinegroup.co.uk/en/news/brand-news.html,Dynamic JS,High - Motor Repair Inflation,p.article-list-item-title a
Admiral Group,Insurer,9 (Personal),https://admiralgroup.co.uk/news-releases,Dynamic JS,High - Pricing Discipline,a.views-row-link
NFU Mutual,Insurer,10 (Rural),https://www.nfumutual.co.uk/media-centre/,Dynamic JS,High - Rural Crime & Weather,h3.card__title a
QBE Europe,Insurer,Top 20 (Comm),https://qbeeurope.com/news-and-events/press-releases/,Dynamic JS,High - Liability & Fleet,h3.card-title a
Covea Insurance,Insurer,Top 20 (Comm),https://www.coveainsurance.co.uk/news-hub/press-releases/,Dynamic JS,Medium - Commercial Lines,h3.news-card__title a
Hiscox UK,Insurer,Top 20 (HNW),https://www.hiscoxgroup.com/news/press-releases,Dynamic JS,High - Cyber & Art,h3 a
Ageas UK,Insurer,Top 20 (Personal),https://www.ageas.co.uk/newsroom/,Dynamic JS,Medium - Broker Sentiment,a.card__link
Hastings Group,Insurer,Top 20 (Personal),https://www.hastingsplc.com/news-announcements,Dynamic JS,Medium - Trading Updates,a.news-item__link
Chubb UK,Insurer,Top 20 (Global),https://news.chubb.com/news-releases?videoid=&c=t,Dynamic JS,High - Major Loss Events,a.item-link
LV= General Insurance,Insurer,Top 20 (Personal),https://www.lv.com/about-us/press/press-releases,Dynamic JS,Medium - Electric Cars,a.search-result__link
Esure Group,Insurer,Top 20 (Personal),https://www.esuregroup.com/news,Dynamic JS,Low - Corporate News,h3 a
Beazley,Insurer,Top 50 (Specialty),https://www.beazley.com/en-gb/news-and-events,Dynamic JS,Critical - Cyber Pricing,a.card-link
Markel UK,Insurer,Top 50 (SME),https://www.markel.com/about-us/news-and-press,Dynamic JS,High - Care & Tech PI,a.mkl-card__link
Ecclesiastical,Insurer,Top 50 (Niche),https://www.ecclesiastical.com/media-centre/news-and-pr/,Dynamic JS,High - Heritage & Charity,a.card__link
Travelers Europe,Insurer,Top 50 (SME),https://www.travelers.co.uk/insights,Dynamic JS,Medium - Tech Risks,a.card-link
Tokio Marine Kiln,Insurer,Top 50 (London),https://www.tokiomarinekiln.com/news-and-views/,Dynamic JS,High - London Market,a.card-link
Vitality,Insurer,Top 50 (Health),https://www.vitality.co.uk/media/,Dynamic JS,High - Wellness Data,a.card-link
Sabre Insurance,Insurer,Top 50 (Motor),https://sabre.co.uk/broker/news-update/,Dynamic JS,High - Granular Pricing,h2.entry-title a
Chaucer Group,Insurer,Top 50 (Specialty),https://www.chaucergroup.com/news/,Dynamic JS,High - Political Risk,a.news-card-link
Aspen Insurance UK,Insurer,Top 50 (Reins),https://www.aspen.co/news/,Dynamic JS,Medium - Reinsurance,a.news-item-link
Convex Insurance,Insurer,Top 50 (Scale-up),https://convexin.com/news-views/,Dynamic JS,High - Emerging Risks,h3.post-title a
Fidelis Insurance,Insurer,Top 50 (Specialty),https://www.fidelisinsurance.com/news-and-media/,Dynamic JS,Medium - Specialty,a.news-link
Lancashire Holdings,Insurer,Top 50 (Specialty),https://www.lancashiregroup.com/en/news-and-insights.html,Dynamic JS,High - Energy & Marine,a.card-link
Brit Insurance,Insurer,Top 50 (London),https://www.britinsurance.com/news,Dynamic JS,High - Algorithm Innovation,a.card-link
Liberty Specialty,Insurer,Top 50 (Comm),https://www.libertyspecialtymarkets.com/gb-en/newsroom,Dynamic JS,High - Commercial,a.card-link
Arch Insurance Int,Insurer,Top 50 (Comm),https://www.archgroup.com/news/?region=International,Dynamic JS,Medium - Regional Brokers,a.news-link
MS Amlin,Insurer,Top 50 (Reins),https://www.msamlin.com/en/news-and-insights.html,Dynamic JS,High - Reinsurance Rates,a.card-link
Legal & General,Insurer,Top 50 (Life),https://group.legalandgeneral.com/en/newsroom/press-releases,Dynamic JS,High - Property Investment,a.search-result__link
Royal London,Insurer,Top 50 (Life),https://www.royallondon.com/about-us/media/media-centre/press-releases/,Dynamic JS,Medium - Pensions,a.search-result__link
Phoenix Group,Insurer,Top 50 (Life),https://www.thephoenixgroup.com/news-and-insights/,Dynamic JS,Low - M&A,a.card-link
Just Group,Insurer,Top 50 (Life),https://www.justgroupplc.co.uk/news-and-media,Dynamic JS,Medium - Care Funding,a.news-item-link
Canada Life UK,Insurer,Top 50 (Life),https://www.canadalife.co.uk/news/,Dynamic JS,Low - Wealth,a.card-link
Unum UK,Insurer,Top 50 (Emp Ben),https://www.unum.co.uk/news,Dynamic JS,Medium - Return to Work,a.card-link
Simplyhealth,Insurer,Top 50 (Health),https://www.simplyhealth.co.uk/about-us/media-centre,Dynamic JS,Low - Dental/Cash Plan,a.card-link
WPA,Insurer,Top 50 (Health),https://www.wpa.org.uk/about-us/news,Dynamic JS,Medium - Health Trends,a.news-link
HDI Global UK,Insurer,Top 50 (Ind),https://www.hdi.global/infocenter/press/,Dynamic JS,High - Industrial Risk,a.news-link
